NSC,SMILES,Cluster_ID,Scaffold_Cluster_ID,Random_Cluster_ID,Butina_Cluster_ID
1,O=C1C(=CC(=O)C=C1)C,1,1,4,7
197,C(=O)(/C=C/c1ccccn1)c1ccccc1,7,2,6,1
740,n1c2nc(nc(c2nc(c1)CN(c1ccc(cc1)C(=O)N[C@@H](CCC(=O)O)C(=O)O)C)N)N,2,3,5,2
755,n1c(=S)c2[nH]cnc2[nH]c1,4,4,2,6
798,n1c(cccc1)C(=O)/C=C/c1ccccc1,7,5,2,1
1011,n1c2c(c(ccc2ccc1)C(c1ccccc1)Nc1ccc(cc1)C(=O)O)O,2,6,4,5
1012,n1c2c(O)c(ccc2ccc1)C(Nc1ccccc1C(=O)O)c1ccccc1,2,6,1,5
1013,c1c(ccc(c1)C(c1ccc2c(c1O)nccc2)Nc1ccccc1)[N+](=O)[O-],2,6,1,5
1014,n1c(cc(cc1)C)NC(c1ccccc1)c1c(c2ncccc2cc1)O,2,7,2,5
1015,n1c2c(c(ccc2ccc1)C(Nc1ccccc1C(=O)OCC)c1ccccc1)O,2,6,7,5
1063,Clc1ccc2c(c3cc(ccc3nc2c1)OC)NCCCCCN1CCCCC1,2,1,5,1
1482,[C@]12(CC[C@H](C[C@@H]1OCC(C)(C)[N+](=O)[O-])C2(C)C)C,3,2,7,5
1570,c1(ccc(cc1O)O)CCCCCC,7,3,5,6
1990,c1cc(ccc1)C(=O)/C=C/c1cc(ccc1)Cl,7,4,7,1
2760,C(=O)(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O.[Na+],7,5,4,7
3036,c1c(ccc2c1cccc2)CCCC(=O)O,7,6,4,5
3039,[Na+].c1c(cccc1)CC(=O)O,7,3,7,2
3062,n1c(c(c2cc(Cl)c(Cl)cc2)c(nc1N)CC)N,2,7,2,3
3073,n1c2[nH]c(nc(=O)c2nc(c1)CNc1ccc(cc1)C(=O)NC(CCC(=O)O)C(=O)O)N,2,1,6,2
3077,N1=C(N(c2cc(Cl)c(Cl)cc2)C(N=C1N)(C)C)N.Cl,2,2,4,2
3080,N1=C(N(c2cccc(Cl)c2)C(N=C1N)(C)C)N.Cl,2,2,4,2
3082,N1=C(N(c2cccc(Br)c2)C(N=C1N)(C)C)N.Cl,2,2,5,2
3083,N1=C(N=C(N(C1CCCCCC)c1cccc(Cl)c1)N)N.Cl,2,2,4,7
3088,c1cc(ccc1N(CCCl)CCCl)CCCC(=O)O,7,3,1,4
3091,[Br-].[N+](c1ccc(/C(=C\2/C=CC(=[N+](C)C)C=C2)/c2ccc(cc2)N(C)C)cc1)(CC)(C)C.[Cl-],7,3,7,5
3298,c1(ccc(cc1OC)/C=C(\[N+](=O)[O-])/C)O,7,3,6,2
3334,C\1(=C/c2ccccc2)/N=C(OC1=O)c1ccccc1,1,4,4,2
3424,Clc1ccc2c(c3cc(ccc3nc2c1)OC)NC(C)CCCN(CCCl)CCCl.Cl,2,5,4,1
3505,CCCCCCCCCCCCSC(=N)N.Br,7,5,5,6
3523,CCCCCCCCCCCCCCCCS/C(=N\CC)/NCC.I,7,5,2,6
3907,n1c2c(cccc2ccc1)O.c1c(c(ccc1)O)C(=O)O,2,6,2,3
3941,Clc1cc(ccc1Cl)/C=C(/[N+](=O)[O-])\C,7,3,3,6
4114,N1CCOCC1.O1CCN(CC1)C(=S)S,3,7,5,7
4232,c1ccc(cc1)C(=O)C(c1ccccc1)Nc1cccc(c1)C(=O)O,7,1,1,7
4239,[I-].c1cccc2c1[n+](ccc2/C=C/c1ccc(cc1)N(C)C)C,2,2,1,3
4240,n1c2ccccc2c(cc1)/C=C/c1ccc(cc1)N(CC)CC,2,3,2,3
4265,n1c2c3ncccc3ccc2ccc1.Cl,2,4,5,3
4272,n1c2c3ncccc3c(cc2ccc1)C,2,4,5,3
4300,N(=N\c1c2ccc(cc2cc(c1O)S(=O)(=O)O)S(=O)(=O)O)/c1ccc(c2ccccc12)S(=O)(=O)O.[Na+],2,5,4,1
4301,N(=N\c1c2c(cc(cc2ccc1O)S(=O)(=O)O)S(=O)(=O)O)/c1ccc(c2ccccc12)S(=O)(=O)O.[Na+],2,5,5,1
4303,Brc1ccc(cc1)C(=O)C[n+]1ccc(cc1)CCCCCCCC.[Br-],7,6,7,5
4307,[Br-].[n+]1(ccc(cc1)CCCCCCCCC)CC(=O)c1ccc(cc1)[N+](=O)[O-],7,6,3,7
4482,c1c(ccc(c1)C(CC(C)(C)C)(C)C)OCCSC(=N)N.Br,7,3,3,6
4681,c1cc(ccc1OCC(=O)O)OCC(=O)O.[Na+],7,3,2,6
4928,n1c(c2c(nc1)[nH]nc2)NCCC,2,7,2,6
5019,C(=C\1/C=C/C(=[N+](/Cc2cc(S(=O)(=O)O)ccc2)\CC)/C=C1)(/c1ccc(cc1)N(Cc1cc(S(=O)(=O)O)ccc1)CC)\c1ccc(cc1)N(CC)CC,7,1,5,7
5048,N(=N\c1c2ccccc2c(cc1)O)/c1ccc(cc1)[N+](=O)[O-],2,2,1,5
5066,N(=N\c1ccc(cc1)[N+](=O)[O-])/c1c(cc(cc1O)O)C,5,3,4,6
5206,N1=C(N=C(N(C1CCCCCCCCCCC)c1cccc(Br)c1)N)N.Cl,2,2,6,7
5364,c1(ccnc2c1cccc2)C(O)C1N2CC(C(C1)CC2)C=C,2,4,4,6
5417,c1(ccc(c2c1cccc2)O)N=O,5,6,4,7
5844,c1c(ccc2c1nccc2NCCNc1ccnc2cc(ccc12)Cl)Cl,2,5,5,2
5890,O1C2=CC(=O)C(C(=O)C2(c2c(c(c(c(c12)C(=O)C)O)C)O)C)C(=O)C,1,6,1,7
6145,c1c(c(ccc1)C(=O)c1ccccc1)C(=O)c1ccccc1,7,7,6,2
6176,[C@@H]([C@@H]1N2C[C@@H]([C@H](C1)CC2)C=C)(c1c2ccccc2ncc1)O,2,1,2,6
6225,c1(cc(ccc1CC(=O)O)[N+](=O)[O-])[N+](=O)[O-],5,3,7,3
6266,C(=O)(c1ccccc1)CC(=O)c1ccccc1,7,2,5,2
6280,c1cc2c3ccccc3n(c2cc1)N=O,1,3,3,7
6814,C(=C\CCCCCCCCCCCC(=O)O)\CCCCCCCC,7,5,5,3
7210,O=C1c2c(cccc2C(=O)c2c1c(ccc2)O)O,1,4,3,2
7211,O=C1c2c(cccc2C(=O)c2c1cccc2O)O,1,4,7,2
7212,O=C1c2c(c(ccc2C(=O)c2c1cccc2)O)O,1,4,4,2
7213,c1(cccc2c1C(=O)c1cccc(c1C2=O)N)N,1,4,4,2
7223,[Na+].N(=N\c1c(cc(c2c1ccc(c2)[N+](=O)[O-])S(=O)(=O)O)O)/c1ccc2ccccc2c1O,2,5,3,1
7346,O=C1O[Cu+2]2345[N+](C1)(CC(=O)O2)CC[N+]4(CC(=O)O3)CC(=O)O5.[Na+],7,6,4,7
7364,c1cc(c2c(nc(nc2C)N)N)cc(c1Cl)Cl,2,7,5,3
7365,C(CC(C(=O)O)N)C(=O)C=[N+]=[N-],3,5,6,3
7376,c1(cc(c(cc1)O)OC)/C=C\[N+](=O)[O-],7,3,6,2
7389,O=C1C(=O)c2ccccc2c2ccccc12,1,7,3,2
7390,c1(cc(c(cc1)OC)OC)/C=C\[N+](=O)[O-],7,3,3,2
7522,O1C(O[C@H]2CC[C@@]3([C@H]4CC[C@@]5([C@@H](C6=CC(=O)OC6)CC[C@@]5([C@@H]4CC[C@@]3(C2)O)O)C)C=O)CC(C(C1C)O)OC,6,1,2,2
7525,O1C(C(C(C(C1OC1C(C(OC(C1O)C)O[C@H]1CC[C@@]2([C@H]3CC[C@@]4([C@@H](c5ccc(=O)oc5)CC[C@@]4([C@@H]3CCC2=C1)O)C)C)O)O)O)O)CO,6,2,5,5
7529,C1(=O)C=C(CO1)C1CCC2(C1(CCC1C2CCC2C1(CCC(C2)OC1CC(C(C(O1)C)OC1CC(C(C(O1)C)OC1CC(C(C(O1)C)O)O)O)O)C)C)O,6,3,3,2
7530,C1[C@@H](C[C@@]2([C@](C1)([C@@H]1[C@@H](CC2)[C@@]2([C@](CC1)([C@H](CC2)C1=CC(=O)OC1)C)O)C=O)O)OC1CC(C(C(O1)C)OC1C(C(C(C(O1)COC1C(C(C(C(O1)CO)O)O)O)O)O)O)OC,6,4,5,2
7532,OC12C3C(C4(C)C(CC3)CC(CC4)OC3CC(O)C(C(O3)C)OC3CC(O)C(C(O3)C)OC3CC(OC(=O)C)C(C(O3)C)OC3OC(CO)C(C(C3O)O)O)CCC1(C)C(CC2)C1=CC(=O)OC1,6,5,5,2
7533,O1C(=O)C=C(C1)C1C2(C(CC3C(C2(CC1)O)CCC1C3(CCC(OC2OC(C(OC3OC(C(OC4OC(C(OC5OC(C(C(C5O)O)O)CO)C(C4)OC(=O)C)C)C(C3)O)C)C(C2)O)C)C1)C)O)C,6,5,2,2
7534,C1C(C=C2C(C1)(C1CCC3(C(C1(CC2OC(=O)C)O)(CCC3c1coc(=O)cc1)O)C)C)O,6,6,5,5
7535,OC12C(C)(C(C(C2)O)C2=CC(=O)OC2)CCC2C1CCC1C2(C)CCC(C1)OC1CC(O)C(C(O1)C)OC1CC(O)C(C(O1)C)OC1CC(OC(=O)C)C(C(O1)C)OC1OC(CO)C(C(C1O)O)O,6,5,7,2
7782,c1(c(cc(cc1C(C)(C)C)CC)Cc1cc(cc(c1O)C(C)(C)C)CC)O,7,7,5,5
7796,[Na+].O=C1c2c(c(c(cc2C(=O)c2c1cccc2)S(=O)(=O)O)O)O,1,4,4,2
7811,[N+](=C1C=C/C(=N\c2ccc(cc2)N(C)C)/C=C1)(C)C.[Cl-],7,1,5,5
7831,[Na+].N(=N\c1ccccc1)/c1c2ccc(cc2ccc1O)S(=O)(=O)O,2,2,5,1
7832,N(=N\c1ccc(cc1)/N=N/c1ccccc1)/c1c2c(cc(cc2S(=O)(=O)O)S(=O)(=O)O)ccc1O,2,2,6,1
7833,c1(ccc(c2c1C(=O)c1ccccc1C2=O)N)N,1,4,1,2
7834,N(=N\c1c2c(cc(cc2ccc1O)S(=O)(=O)O)S(=O)(=O)O)/c1cccc2ccccc12.[Na+],2,5,4,1
8360,Clc1ccc2c(c3cc(ccc3nc2c1)OC)NC(c1ccc(F)cc1)CCCN(CC)CC,2,3,3,1
8590,c1(cc(c2c(c1)c1ccc(cc1cc2)C(C)C)C)C(O)CN(C)C.Cl,7,4,6,7
8591,Clc1ccc2c(c3cc(ccc3nc2c1)OC)NCCCCN(CC)CC.Cl,2,5,3,1
8643,[Cl-].n1c2c(cc(c(c2[o+]c2c1ccc(c2)N(C)C)O)O)C(=O)N,2,5,2,4
8673,C(=C\1/C=CC(=[N+](C)C)C=C1)(/c1ccc([N+](C)(C)C)cc1)\c1cc(c(cc1)N(C)C)C.[Cl-],7,3,7,5
8675,[Cl-].C(=C1C=CC(=[N+](CC)CC)C=C1)(c1ccc(cc1)N(CC)CC)c1ccc(cc1)N(CC)CC,7,3,3,5
8704,c1ccnc2c1c(cc(c2O)I)I,2,6,2,5
8806,c1c(ccc(c1)N(CCCl)CCCl)C[C@H](N)C(=O)O.Cl,3,3,1,2
8995,c1ccc(cc1)/N=N/c1ccc(cc1)/N=N/c1c2ccccc2ccc1O,2,2,5,1
9037,o1c2c(c(c3c(cccc3)O)c3cc(c(cc13)O)O)cc(c(=O)c2)O,1,7,4,7
9170,O=c1c(ccc2c3c(c(c(cc3CC[C@@H](c2c1)N)OC)OC)OC)SC,1,1,3,1
9329,N1CCN(CC1)CCCCCCOc1ccc(C2CCCCC2)cc1.Cl,7,2,1,6
9364,Fc1cc2c(cc1)c(c[nH]2)CC(C(=O)O)N,3,3,7,2
9408,c1c2c(c(cc(=O)o2)C)ccc1O,1,4,4,2
9609,N(=N\c1cc(C)c(cc1)/N=N/c1cc([N+](C)(C)C)ccc1)/c1c2c(ccc1O)cccc2,2,2,1,1
9616,N(=N\c1c(cc(c2cc(c(/N=N/c3c(c4c(cc(cc4cc3S(=O)(=O)O)S(=O)(=O)O)N)O)cc2)OC)cc1)OC)/c1c(c2c(cc(cc2cc1S(=O)(=O)O)S(=O)(=O)O)N)O.[Na+],2,5,1,7
9617,N(=N\c1c(cc(c2cc(c(/N=N/c3c(c4c(c(cc(c4cc3)S(=O)(=O)O)S(=O)(=O)O)N)O)cc2)OC)cc1)OC)/c1c(c2c(c(cc(c2cc1)S(=O)(=O)O)S(=O)(=O)O)N)O.[Na+],2,5,3,5
9665,O1[C@]2([C@@H]([C@]3(O[C@@H]3CC=C(C)C)C)[C@@H]([C@@H](CC2)O)OC)C1,6,6,3,6
9688,Clc1ccc2c(c3cc(ccc3nc2c1)OC)NCC(c1ccccc1)CCN(CC)CC.Cl,2,7,2,1
